"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",187,0.773611955432096,3.41357497577831,1e-10,5e-10,1.89473684210526e-10,1691,"tags=64%, list=14%, signal=56%","55143/991/1062/4605/9833/9133/7153/79733/6241/9787/83461/10460/79019/10635/27338/983/4085/9837/332/2146/9212/1111/9319/146909/6790/24137/4174/9232/4001/4171/1033/1164/3161/11004/993/5347/29127/701/55723/55635/57405/10615/3159/79075/9700/1503/51155/7083/898/3149/23594/3070/4288/10733/7037/1163/4175/4173/10797/10549/54962/994/9918/29980/29028/3838/84296/3015/4609/81611/5111/10212/64785/10535/1029/4830/3925/23649/4176/7112/5902/3148/3930/4436/5982/81624/1031/10051/1019/7398/7884/5558/4172/5424/10606/5885/11200/1633/11168/1434/203068/7374/7283/5983/4678/8914/4683/23165/7913/10248/11051/6839/6628/1786/204/6427/3014/5425/6749"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",197,0.752053205255462,3.35012852828195,1e-10,5e-10,1.89473684210526e-10,997,"tags=46%, list=8%, signal=43%","8318/991/9493/1062/4605/9133/10403/7153/11065/55872/51203/22974/10460/4751/8140/27338/890/983/4085/332/3832/2146/7272/9212/51659/1111/9055/6790/24137/4174/9232/4001/4171/1033/1164/3161/11004/993/990/5347/29127/26255/9156/10024/3159/8438/9700/51155/3149/23594/56992/4288/10733/1163/4175/10926/994/3838/1058/3015/699/4609/6491/1063/6713/262/85236/10212/26271/1869/3925/8317/23649/1841/7112/10036/3930/9585/4953/6541/4502/1871/1031/6632/10051/7468/1019/7290/5558/4172"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",193,0.622721303889394,2.76873963460891,1e-10,5e-10,1.89473684210526e-10,3058,"tags=57%, list=24%, signal=44%","8318/991/890/4085/4174/4171/1503/4175/4173/10549/6627/22948/5984/7298/3838/3015/4609/5111/5688/5709/3608/4830/8894/11260/4176/6634/5902/1537/5713/3068/9377/4953/10907/5691/3066/5496/3329/6632/10576/5685/1019/7398/5230/2058/5690/9188/7027/3475/10213/51491/3735/8761/57819/3376/6732/7913/3251/8662/6637/3336/6059/6626/23450/5714/6427/6723/5425/11335/54107/10492/6629/9136/5704/5901/7203/10987/9221/6240/5683/26986/10574/26135/10054/10575/51690/52/8454/3939/5634/2091/5682/4686/65005/9868/328/790/6633/5707/708/10971/7411/3326/55651/7332/8886/1977/7965/4869/10856/56910"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",83,0.654567359439112,2.58385395453154,1e-10,5e-10,1.89473684210526e-10,1668,"tags=46%, list=13%, signal=40%","3627/27074/3669/6373/11274/4061/6890/9636/7453/4599/6402/10437/8767/91543/3429/5698/3574/3437/64108/4938/2766/55008/64135/8638/5721/10964/64761/5359/5684/3600/3659/2634/9034/9111/3433/51056/9246/79132"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",177,0.58872509879099,2.57081825834614,1e-10,5e-10,1.89473684210526e-10,2454,"tags=54%, list=20%, signal=44%","3627/3669/6373/4283/3620/3695/11274/4061/6890/9636/952/6352/7453/4599/10797/5214/7378/6772/6347/57823/2643/10437/3001/8767/91543/3429/80830/9688/5698/3574/3437/64108/4860/6354/7412/4940/55008/2841/64135/8638/5721/4502/942/10964/64761/969/1439/7127/4600/25939/81030/5359/3383/5690/5684/3937/4939/3394/6375/3600/3659/23586/7128/3434/9111/3433/5699/51056/3601/9246/79132/3569/10875/5743/6398/3091/55016/1240/5142/3135/9021/834/10561/5683/958/54739/5610/3587/55024/5771/4792/57162/10379/9830/5371/8651"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",196,0.576845810933939,2.56818459718383,1e-10,5e-10,1.89473684210526e-10,2057,"tags=47%, list=16%, signal=40%","6241/8140/9415/5163/6790/29968/4171/993/5347/26227/7453/7037/1717/4173/1075/10797/4199/440/8833/699/10437/6319/6713/8624/10212/27346/6472/6715/1719/54541/4860/8894/5693/7277/2821/81873/7296/4783/11151/5723/10963/3422/7167/6515/5641/586/908/30001/3329/5685/2597/23753/5230/3689/2023/2058/5684/56902/10682/2539/10652/3475/7374/10213/6513/3638/5052/4793/7283/6510/51377/23165/3251/3336/6503/6184/899/2542/79071/2805/10452/10875/10096/7852/9136/3099/5704/3145/23657/10987/5464/27101"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",199,0.555528192591182,2.47621050774921,1e-10,5e-10,1.89473684210526e-10,2657,"tags=53%, list=21%, signal=42%","10563/4283/3002/50852/4318/6890/6352/7453/3932/5551/3559/1230/6772/6347/914/3112/3001/8767/3561/2533/6351/917/924/1029/4830/4050/3574/919/915/4067/6354/11184/27240/3458/1520/959/3824/3702/925/586/942/1991/10225/3689/5788/1234/916/7096/3383/9466/3937/6367/3394/16/5552/3600/8807/940/2634/4689/6891/1445/6357/8477/6059/5699/4690/10261/7124/11222/912/3569/56253/7097/7454/3091/1956/7186/2213/3135/2650/672/3596/2000/2833/356/958/3059/6356/9734/9437/7321/3578/8560/3593/5582/8651/7334/3558/729230/3592/3560/3589/10333/3109"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",195,-0.546469110847445,-2.23375163607952,1e-10,5e-10,1.89473684210526e-10,1690,"tags=43%, list=14%, signal=37%","1301/2669/7474/2619/3685/7168/1490/2517/4314/6586/10272/5021/10085/10979/4256/1809/5396/2817/9353/1278/4060/30008/1277/7078/22795/10516/1293/2247/6591/10398/6695/6876/8076/5118/2192/1281/50509/11167/1290/3485/7058/10486/1009/4313/2199/6444/3693/1294/2191/6387/5159/1462/1289/1292/388/3908/4016/25878/290/3909/6678/1296/5376/4035/633/4487/5744/1842/5654/10631/2331/2697/3487/4982/2200/1634/131578/7049/6424/2006/1307/1311/4148"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,-0.542292623901864,-2.22479615228437,1e-10,5e-10,1.89473684210526e-10,2007,"tags=44%, list=16%, signal=37%","1960/55191/56994/22996/9687/23286/21/1952/5914/2717/6337/4602/11057/7466/79875/596/9094/6478/28966/57419/79754/8204/3875/595/54463/11001/55686/573/5029/6196/6584/55793/27134/7869/2353/64284/64699/56944/60481/11031/4681/26509/23389/8553/10560/58495/2317/7357/3625/26018/7494/3480/6387/2674/7162/744/6542/65055/26353/7033/23030/8800/25800/11098/55638/23541/4886/2697/3487/367/10202/375449/3572/54898/4582/7031/6505/18/8416/60598/771/5174/4137/8839/79083/8614/5241"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",180,0.502705384495963,2.20607253830345,1e-10,5e-10,1.89473684210526e-10,759,"tags=17%, list=6%, signal=16%","9493/1062/9133/10403/7153/9787/51203/22974/4751/983/332/3832/7272/9055/6790/24137/4001/11004/5347/29127/1894/9700/56992/11135/699/1063/26271/29901/7277/9585/9735"
